directed_at_screen_name,directed_at_congress,directed_at_gender,directed_at_interbloque,id_str,datetime,text,Slurs,Target,Main category,Threat,Sexually Explicit,Misoginy,Comment,Review
NicolasdelCano,D,M,PTS -Frente de Izquierda,id_1207743104771674112,12/19/19 19:22,Tenes muchos likes xq los globertos t bancan en esta...asi q fijate si te bancan ellos es xq no estas haciendo las cosas bien,Globertos,,Criticism,No,No,No,,
vikidonda,D,F,Frente de Todos,id_1230301918821482496,2/20/20 1:23,"Mentirosas seriales ladronas hdp, menos mal que hay un Dios que les hará pagar tanta maldad, basuras humanas, todo llega, tiempo al tiempo.","Mentirosas seriales, ladronas, hdp, basuras humanas",,Hostility,Yes,No,Yes,Mujeres en plural,
LaspinaL,D,M,Juntos por el Cambio,id_1233135757872836619,2/27/20 21:04,pic.twitter.com/yD44olRa37,,,None,,,,,
,,,,id_1230847011617898502,2/21/20 13:29,"Siiiiiiiiiii 👍 de acuerdo debemos salir nos quieren llevar puesto, no se puede permitir 💪💪💪💪💪💪",,,None,,,,,
vikidonda,D,F,Frente de Todos,id_1226571911448100869,2/9/20 18:21,Callese la boca y mire el video. Y escriba para un medio como la gente. Despues hablamos.,Callese la boca,,Hostility,No,No,No,,Callese la boca?
larroqueandres,D,M,Frente de Todos,id_1235562636818997248,3/5/20 13:47,"Un dictador totalitario y asesino.  Un zurdo asesino y totalitario No es perdida irreparable, es la desaparición de quien inició la ruina de Venezuela.","zurdo asesino, totalitario",Other individual,Hostility,No,No,No,,
vikidonda,D,F,Frente de Todos,id_1225937413215805440,2/8/20 0:20,"Patricia fue la ministra q mas nos cuidó, no sé con respecto al cannabis pero en seguridad te lo afirmo",,,None,,,,,
,,,,id_1205987641289781249,12/14/19 23:07,"En vez de tomar medidas que retrasan la formalización de trabajadores y aumentan la litigiosidad, tenemos que dar certezas tanto a los trabajadores como a quienes dan empleo, ampliando por ejemplo los fondos de cese que existen en sectores como la construcción #dobleIndemnizacion",,,Criticism,No,No,No,,
NicolasdelCano,D,M,PTS -Frente de Izquierda,id_1222650096266903552,1/29/20 22:37,45 días!!! Estamos en default!! Hipotecados ya dicen que los estafo Alberto!! 🤦,,,None,,,,,
gabicerru,D,F,Frente de Todos,id_1232052026772770818,2/24/20 21:17,El odio es tomar veneno y esperar a que se muera el otro.,,,Hostility,No,No,No,,
EduardoCostaSC,S,M,Juntos por el Cambio,id_1215688846781841408,1/10/20 17:36,"Recién me entero que Hipertehuelche es del Senador de cambiemos senador   Ahora entiendo todo,con razón los empleados son maleducados  y prepotentes",,,Hostility,No,No,No,,
,,,,id_1222991205551804416,1/30/20 21:13,"Y cuantos de esos 163 impuestos sacaron durante su gobierno?.. Lo que son las paradojas, no les alcanzó con eso qué nos endeudaron de por vida.. El Pueblo está cansado de las mentiras y las operaciones sucias de su espacio!!",,Plural,Criticism,No,No,No,,
,,,,id_1222770348837523456,1/30/20 6:35,Comprate un generador y deja de votar por favor.,,,Hostility,No,No,No,,
,,,,id_1228034450719727616,2/13/20 19:13,Dejen de sanatear y hagan algo en concreto no solamente mantener vagos para perpetrarse en el Poder... lakras,Lakras,Plural,Hostility,No,No,No,,
,,,,id_1237500567162892288,3/10/20 22:08,Debería estar   ahí!!!!,,,None,,,,,
vikidonda,D,F,Frente de Todos,id_1226912445060481026,2/10/20 16:54,"Esta tipeja es una mitómana e ignorante total, lo que se dice MALA LECHE.","Mitomana, ignorante, mala leche",Other individual,Hostility,,,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1227084874412167168,2/11/20 4:20,Feliz cumple Paula !!!! ❤️❤️😘😘🎂🎂🎉🎉,,,None,,,,,
M_Campagnoli,D,F,Juntos por el Cambio,id_1215000761035317248,1/8/20 20:02,"Pero sumaron a Brancatelli, todo no se puede.",,,None,,,,,
FerIglesias,D,M,Juntos por el Cambio,id_1206348240423137281,12/15/19 23:00,Acá el amigo  explicándole a los productores lo necesario que eran las mismas retenciones hace un año con un dolar mucho menos competitivo.,,,None,,,,,
slospennato,D,F,Juntos por el Cambio,id_1231997092387835906,2/24/20 17:39,Y que tiene que ver con avalar un robo a avalar un robo y un asesinato. Si vas a criticar a alguien x lo menos se concreto,,,Criticism,No,No,No,,
SergioMassa,D,M,Frente de Todos,id_1208069576203878401,12/20/19 17:00,"Las vallas las puso el gobierno de la ciudad, lo aclaro ayer  en el Parlamento",,,None,,,,,
,,,,id_1218546758667657217,1/18/20 14:52,Así es cada sector hace su reclamo por verdad y justicia. Eso defendemos.,,,None,,,,,
felipe_sola,D,M,Frente de Todos,id_1213968466308407299,1/5/20 23:40,Hasta los opositores a Maduro se dan cuenta de esta truchada,,,None,,,,,
elisacarrio,D,F,Juntos por el Cambio,id_1234270366429786112,3/2/20 0:12,"Banderada, de los sinvergüenzas,  como usted  ninguna!!!!",sinverguenzas,,Hostility,No,No,No,,
marioraulnegri,D,M,Juntos por el Cambio,id_1220182007910748160,1/23/20 3:10,Q mediocre imitacion d telenovela mexicana setentosa.,,,None,,,,,
danielscioli,D,M,Frente de Todos,id_1233078572606218241,2/27/20 17:16,"Éstamos a punto de ser Venuzula Dieron Quórum con el imprestable de  que ya presentó renuencia para ser embajador en Brasil  Todo truchos y corruptos, como siempre","Truchos, corruptos",Plural,Hostility,,,,,
,,,,id_1234159793507618819,3/1/20 16:53,"estás en un organismo  público, los argentinos lo sostenemos y te pagamos el sueldo a vos. Es una vergüenza como nos estás estafando. #AbortoEsNegocio",,,Hostility,No,No,No,,
FerIglesias,D,M,Juntos por el Cambio,id_1237526613861924866,3/10/20 23:51,Estos pseudoprogresistas cabezas de termo necesitan pasar por la experiencia de contagiarse y estar al borde de morir para entender que contagiarse coronavirus no es de derecha ni de izquierda... son incorregibles...,cabezas de termo,Plural,Hostility,,,,,
vikidonda,D,F,Frente de Todos,id_1226097735708954624,2/8/20 10:57,Cínica....repugnante contestación,cinica,,Hostility,No,No,No,,
,,,,id_1224372118378422272,2/3/20 16:40,De nada. Soy el ChicoJusticiaEnVenas,,,None,,,,,
,,,,id_1210860315673612288,12/28/19 9:49,"No te mortifiques por cosas que no podés controlar Dedíquense a gobernar ¿o no pueden administrar ""pobreza""?  pregonó en campaña que se debía ""mirar hacia adelante"", así que no miren a JxC Pero saben que pronto caerán sus mentiras y será el fin de la #TiraniaDelPeronismo",,Plural,Hostility,,,,,
larroqueandres,D,M,Frente de Todos,id_1235687771634831362,3/5/20 22:04,"Vos sos la derrota, sos el fracaso. con dirigentes como vos eate pais es inviable. Antes andabas cin la cabeza entre las piernas, ahora tonaste vuelo. pensas rajar a periodistas como a Micheli. Te acordas como lo aprestaste con el circo en la plata.",,,Hostility,No,No,No,,
CarolinaMoises,D,F,Frente de Todos,id_1227809020163043329,2/13/20 4:17,Saludos a las tipoy,,,None,,,,,
,,,,id_1232033061207932930,2/24/20 20:02,en verdad que ubicaste a todos tus familiares en PAMi  por favor no hagan lo mismo que la oposición. No corresponde.,,,Criticism,No,No,No,,
,,,,id_1228336128777957376,2/14/20 15:12,Y para que le seguis a Laje en serio qué pelotudos  de mierdas son.,pelotudos de mierda,,Hostility,No,No,No,,
monicafrade2,D,F,Juntos por el Cambio,id_1225539733914296320,2/6/20 22:00,En el unico pais . Q a los chorros lo resiben asi,chorros,Plural,Hostility,,,,,
gabicerru,D,F,Frente de Todos,id_1208137078816550917,12/20/19 21:28,"Sos literalmente una BASURA como persona, le acaban de ROBAR a los viejos, a los abuelos... NO tenes corazón, das ASCO Cerruti, sabelo, Uds pasan a la historia como la peor peste que azotó al país... El INFIERNO si existe es poco para UDS.","basura, no tenes corazon, das asco, peste",,Hostility,Yes,No,No,,
,,,,id_1237472652475990026,3/10/20 20:17,NO son 170 medicamentos. Son 170 principios activos/drogas. Son alrededor de 3000 presentaciones.,,,None,,,,,
LicDanielArroyo,D,M,Frente de Todos,id_1233732417376178176,2/29/20 12:35,Estos tipos tienen que pagar por lo que le hacen a su pueblo. #HabraConsecuencias  …,,Plural,Hostility,Yes,,,,
,,,,id_1217459637454241792,1/15/20 14:52,#18EConNismanNO #18ENisman5Años #18EJuntosPorLaVerdad,,,None,,,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1217148298949283841,1/14/20 18:15,"Ósea que Vidal, de su partido, no fue capaz de manejarlo? Entonces no son tan eficientes en la gestión pública",,Plural,Criticism,No,No,No,,
pau_oliveto,D,F,Juntos por el Cambio,id_1212791007189852162,1/2/20 17:41,"A mi me escribieron que lo mandó a matar Macri, cualquier cosa! No tienen respeto por nada ni por nadie",,Plural,Criticism,No,No,No,,
marioraulnegri,D,M,Juntos por el Cambio,id_1233823410091896832,2/29/20 18:36,"Esto demuestra quienes son los mentirosos,quienes hacen todo para lograr sus cometidos,una rebaja mentirosa en las jubilaciones de privilegio para justificar el ajuste brutal a los jubilados. DESVERGONZADOS!! LADRONES!! CINICOS!! ASOCIACION ILICITA PARA ESTAFAR A LOS ARGENTINOS!!","mentirosos, desvergonzados, ladrones, cinicos",Plural,Hostility,No,No,No,,
gabicerru,D,F,Frente de Todos,id_1208279379119353856,12/21/19 6:53,gana vos también un poco menos. #QueSeVayanTodos #bajenseelsueldo,,,Criticism,No,No,No,,
MoreauLeopoldo,D,M,Frente de Todos,id_1207437619904290819,12/18/19 23:08,"Shhhhhhh, caminá cucha ex UCR!",,,None,,,,,
rodotailhade,D,M,Frente de Todos,id_1233395186383933441,2/28/20 14:15,👏👏👏👏👏   …,,,None,,,,,
,,,,id_1223243862132633600,1/31/20 13:57,"Me encanta la coherencia del frente de todos contra todos  ✌️Aníbal Fernández: interventor  ➖Mirá el video, y pensamos ...",,,None,,,,,
felipe_sola,D,M,Frente de Todos,id_1206344007254712322,12/15/19 22:43,Bien De Ministro,,,None,,,,,
elisacarrio,D,F,Juntos por el Cambio,id_1208637875425828864,12/22/19 6:38,Eso eligió la gente ya es tarde no se dieron cuents,,,None,,,,,
,,,,id_1228651717954326528,2/15/20 12:06,No nos tendría q defender a los jubilados x el robo a mano armada? Poner límite de aumento a 20.000 pesos y uds ganan 300.000 y tienen Miles de asesores son muy HDP,HDP,Plural,Hostility,,,,,
TotyFlores,D,M,Juntos por el Cambio,id_1233333734637817856,2/28/20 10:10,"Peor es avalar la corrupción, señora señor ni se sabe que sos! No se puede ejercer dos cargos y menos en dos poderes distintos, sí renunció o no renunció no importa ya sabemos que el Peronismo es robo, corrupción y trampa",,,Hostility,No,No,No,,
,,,,id_1226867383505125377,2/10/20 13:55,desilusión de los #HipotecadosUVA . Nos mentiste con Falsaa Promesas de campaña. Nos usaron para sumar votos. Hoy solos y mas endeudados que antes,,,Hostility,No,No,No,,
marioraulnegri,D,M,Juntos por el Cambio,id_1232750292871057408,2/26/20 19:32,"NEGRI VOS RECORTASTE EL 13 % A TODOS LOS EMPLEADOS PUBLICOS JUBILADOS Y DOCENTES EN EL 2001 . CON MACRI INFLACION DEL.350 % , DEJARON UN DESASTRE , DEJEN GOBERNAR .",,,Criticism,No,No,No,,
FerIglesias,D,M,Juntos por el Cambio,id_1233055815612981250,2/27/20 15:46,la bosta la provee el kirschnerismo,,Plural,Hostility,,,,,
cornejovirginia,D,F,Juntos por el Cambio,id_1237511178403840000,3/10/20 22:50,"Ahora en #Informados con  conversamos con  sobre la intervención de la justicia de #Jujuy: ""Es una aberración institucional. Es una movida para liberar a Milagro Sala, que fue una promesa de campaña de Cristina Kirchner""",,,None,,,,,
MoreauLeopoldo,D,M,Frente de Todos,id_1211650923879190530,12/30/19 14:11,"El 40% de pobreza que en realidad fue 32%  fue una de las operaciones de marketing mejor concebida a nivel global. La empujaron el Estado del Vaticano, la la izquierda sudamericana, los buitres del estado y los socios locales de ese club.",,,Criticism,,,,,
FerIglesias,D,M,Juntos por el Cambio,id_1233255321449226240,2/28/20 4:59,"Si , hay . No son tan boludos . Pero las van a truchar . No se van más sino es por la fuerza . Y la fuerza somos nosotros .",Boludos,Plural,Hostility,,,,,
LicDanielArroyo,D,M,Frente de Todos,id_1225138708321644544,2/5/20 19:26,"Daniel...tengo tatuada tu frase ""prestamos no bancarios a tasas bajas""...estoy esperando... para refinanciar con el mismo banco es un afano...es no terminar nunca de salir del pozo. para cuando esa promesa de campaña??",,,Criticism,No,No,No,,
fangelini,D,M,Juntos por el Cambio,id_1233012555515338752,2/27/20 12:54,No se cuál justicia es mejor. La de ahora o la que supuestamente van a poner?,,,None,,,,,
ItaiHagman,D,M,Frente de Todos,id_1207787062000263168,12/19/19 22:17,O sea igualar para abajo. Algo que nunca pasó ni va a pasar en Argentina,,,None,,,,,
CarlaCarrizoAR,D,F,Juntos por el Cambio,id_1217830194125426688,1/16/20 15:25,"Sabes qué pasa amigo, en 3 años cdo no apoyes más a Alfonsín, vas a decir q es culpa de Cornejo q la UCR acepte en el partido personajes q atrasan como él. No t voy a discutir el lastre de Macri. Si perdieron en parte también fue xq no fueron lo suficientemente buenos..",,,Criticism,No,No,No,,
pau_oliveto,D,F,Juntos por el Cambio,id_1215693939983966208,1/10/20 17:56,No lamenten tanto y reaccionen de una vez. Ponganseles de culo. Juéguenles con sus mismas armas. No dejen q nos atropellen. Lila tuiteó “la República está a salvo”. Es mentira. Está más en peligro que nunca Nosotros los pusimos ahi con ntro voto Ayúdennos entonces. Nos lo deben,,,Criticism,,,,,
luanavolnovich,D,F,Frente de Todos,id_1229570334627680256,2/18/20 0:56,Si esas 15 Lucas no valen una mierda es gracias a la maquinita de imprimir billetitos que destruyó la moneda. Dudo que done el sueldo a algún centro de jubilados. Que agradezca que se levantó al hijo de Cris y metió un currito en el PAMI. Debe ser muy idónea no? 👉👌,,,Hostility,No,No,Yes,Que agradezca que se levanto al hijo de cris y metio un currito en pami,
omarperotti,S,M,Frente de Todos,id_1236024905415737345,3/6/20 20:24,"Usted ya se dio ahora ellos tiene que ser y si no hágala más fácil, no les de más pelota y si hacen paro les descuenta, porq este gremio juega con nuestros niños ,se cagan en la psicología del niño en la motivación etc etc",,Plural,Hostility,,,,,
CarlosMenem_LR,S,M,Frente de Todos,id_1216766867223777280,1/13/20 17:00,"No cobra sueldo por ser Senador Liliana, de hecho es de público conocimiento que no goza de ese sueldo el mejor presidente que tuvimos desde la vuelta de la democracia.",,,None,,,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1219386551391739904,1/20/20 22:29,"Por plata baila el mono Y si le pones más plata, hasta te limpia el inodoro..  La Chorra se volteaba asesores cuando era Senadora. El q apareció colgado en Uruguay dentro del placard era uno.. Boudou le hacía el service tb..  O te creías q eran santos?  #GeniosDelVoto",,,Hostility,No,No,Yes,"""Por plata baila el mono. La chorra se volteaba asesores cuando era senadora. Boudou le hacia el service""",
NicolasdelCano,D,M,PTS -Frente de Izquierda,id_1233391406250590212,2/28/20 14:00,Y vos les diste quorum y los peronchos no van a hacer nada,,,Criticism,No,No,No,,
SergioMassa,D,M,Frente de Todos,id_1222225899833167872,1/28/20 18:32,Ya siento como se hacen humo dentro de la cartera de la dama y el bolsillo del caballero.  #parasitos,Parasitos,Plural,Hostility,,,,,
gabicerru,D,F,Frente de Todos,id_1208474157828202498,12/21/19 19:47,"Grande Gabriela , sos una guerrera por el derecho a los más pobres , saludos 💪💪💪",,,None,,,,,
,,,,id_1222188026824155137,1/28/20 16:01,"Gracias a la decisión política del Presidente de llevar obras públicas a todas las provincias, estamos trabajando junto a Gustavo Bordet y Enrique Cresto para que Villaguay tenga la obra de saneamiento más importante de su historia.",,,None,,,,,
,,,,id_1229962215035457538,2/19/20 2:53,Desendeudar las familias como viene indicando  y     Mirá esta nota: Tarjetas de crédito: el Banco Nación bajará la tasa de financiación del 67% al 49% | El Cronista -,,,None,,,,,
,,,,id_1228271571048988672,2/14/20 10:55,Bravo x el HOMBRE DISFRAZADO,,,None,,,,,
,,,,id_1205907731204517895,12/14/19 17:49,OTRA NO TE ENTERASTE QUE EL MACRISMO LES GANO LA CALLE ?,,,None,,,,,
SergioMassa,D,M,Frente de Todos,id_1218112250705301505,1/17/20 10:06,El tipo es un odiador tremendo. Un verdadero cara de titanio sin moral. Por suerte no es muy inteligente y siempre queda pagando.,Cara de titanio sin moral,,Hostility,No,No,No,,
gustamenna,D,M,Juntos por el Cambio,id_1207169048020160512,12/18/19 5:21,La razón no necesita insultar,,,None,,,,,
fsuarezlastra,D,M,Juntos por el Cambio,id_1215891363910377472,1/11/20 7:01,que vuelva Carlo,,,None,,,,,
,,,,id_1224537083601133568,2/4/20 3:36,"Casi la totalidad de las importaciones argentinas son insumos para la producción industrial, sector que acumula un déficit comercial anual que ha llegado a superar los 30.000 millones de dólares, y que bancan los servicios y el campo. Estudie, señor Only Rock and Roll patriótico.",,,None,,,,,
vikidonda,D,F,Frente de Todos,id_1217467883653095426,1/15/20 15:25,"Chorra, por qué mejor no vas a cuidar a tu hija del padre pedófilo que tiene???","Chorra, pedofilo",,Hostility,No,No,Yes,Por que mejor no te vas a cuidar a tu hija,
vikidonda,D,F,Frente de Todos,id_1217423026075197443,1/15/20 12:27,Mira una guanaka 😂,,,None,,,,,
FerIglesias,D,M,Juntos por el Cambio,id_1226692258646368257,2/10/20 2:19,Recién leí en el hilo de un tuit que alguien kk escribió y rápidamente sacó dentro de nuestro hilo como todavía hay italo fanáticos que la defienden. Da mucho asco ella y su séquito,"KK, da mucho asco",,Hostility,No,No,No,,
vikidonda,D,F,Frente de Todos,id_1217475620835397638,1/15/20 15:56,PARA EDUCAR Y CREAR CONCIENCIA SOBRE LA RESPONSABILIDAD SEXUAL NO NECESITAS TENER CLASES DE SEXO ANAL PARA NIÑOS DE PRIMARIA....,,,Criticism,No,Yes,No,,
,,,,id_1236622978772860929,3/8/20 12:01,#DiadelaMujer,,,None,,,,,
luispetri,D,M,Juntos por el Cambio,id_1235249896413966337,3/4/20 17:04,Ahora solicitan exigen convocan piden explicaciones cuando sus dirigentes nos tuvieron 4 años con la chota adentro.,,,Hostility,No,Yes,No,,
,,,,id_1207974625453527047,12/20/19 10:42,Reparti tu sueldo entonces pedazo de hipocrita mercenaria,Hipocrita mercenaria,,Hostility,No,No,No,,
gracielaocana,D,F,Juntos por el Cambio,id_1225248040635838465,2/6/20 2:41,"mire que lo que hace usted no es pensar, un mono educado a cachetazo y banana hace eso mismo",,,Hostility,No,No,No,,
mirtatundis,D,F,Frente de Todos,id_1228716799237251072,2/15/20 16:24,"Q vergüenza ser Tundis y kernerista....todo vuelve Sra , todos menos su dignidad",Kernerista,,Hostility,Yes,No,No,,
gracielaocana,D,F,Juntos por el Cambio,id_1233710741565382657,2/29/20 11:08,pic.twitter.com/8DUOlaWF7g,,,None,,,,,
SergioMassa,D,M,Frente de Todos,id_1212431473292300288,1/1/20 17:52,"SOS UN CARADURA  igual ya te cagaron, algún puestito para algún amigo, “ Ventajita” !!",Caradura,,Hostility,No,No,No,,
gracielaocana,D,F,Juntos por el Cambio,id_1232277420968960000,2/25/20 12:13,"No, al que le redactaron el escrito con tantas boludeces que se suicidó.",,,None,,,,,
gabicerru,D,F,Frente de Todos,id_1217424088987316224,1/15/20 12:31,No mientas,,,Hostility,No,No,No,,
gabicerru,D,F,Frente de Todos,id_1232938470190047232,2/27/20 8:00,"Descerebrada, hdre1000p","Descerebrada, hdre1000p",,Hostility,,,,,
SergioMassa,D,M,Frente de Todos,id_1221205770857066497,1/25/20 22:58,Nos van adoctrinar poniéndonos la cara de nestor en La Plata. Igual sería el mejor homenaje a el .Era lo único que le interesaba .,,,Hostility,No,No,No,,
gracielaocana,D,F,Juntos por el Cambio,id_1225403705601687553,2/6/20 12:59,Q vergüenza este gobierno!,,Plural,Hostility,No,No,No,,
marioraulnegri,D,M,Juntos por el Cambio,id_1227360801939390464,2/11/20 22:36,Lo decís x vos?? El mejor Político de esta década ...junto a Sáenz..,,,None,,,,,
NicolasdelCano,D,M,PTS -Frente de Izquierda,id_1207772812787814414,12/19/19 21:20,No lo puedo creer. Hecho inédito: estoy de acuerdo con este tipo.,,,None,,,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1225809730397929474,2/7/20 15:53,"Se sabía que apostaba al desgaste y lo consiguió.  Veremos si los maestros también ""entienden""",,,Criticism,No,No,No,,
ljuez,D,M,Juntos por el Cambio,id_1226216173391556608,2/8/20 18:48,El pueblo decano va a estar eternamente agradecido por su intervención en esa hazaña gracias infinitas   🔵⚪🔵,,,None,,,,,
SergioMassa,D,M,Frente de Todos,id_1218887785756733440,1/19/20 13:27,"Es como decir no robaron tanto, fue menos de lo que dijeron, el hecho es que no hay que robar",,Plural,Criticism,No,No,No,,
,,,,id_1234127847406485504,3/1/20 14:46,#TodosConAlbertoYCristina #Apertura2020 🇦🇷♥️,,,None,,,,,
,,,,id_1221089768706052098,1/25/20 15:17,ES EL MOMENTO DE CAMBIARLOS CON LA EMERGENCIA QUE DICEN UDS QUE HAY? Y GASTAR ESE DINERO EN ESO???? EL PUEBLO NOOOOOOOOOOOOO QUIERE MAL GASTOS,,Plural,Criticism,,,,,
MariaLujan_Rey,D,F,Juntos por el Cambio,id_1231982915145302016,2/24/20 16:43,"Desde ese momento tan doloroso, te vi partida de dolor pero a la vez tan entera, supe que íbamos a seguir escuchándote. Todos los años te digo lo mismo. Sos un gran faro para muchos, María Lujan, por tu entereza, por tu lucha. Te abrazo fuerte. 🙏🙏",,,None,,,,,
gracielaocana,D,F,Juntos por el Cambio,id_1210692172179279872,12/27/19 22:41,Prefiero la Coca Cola a la Manaos...,,,None,,,,,
FerIglesias,D,M,Juntos por el Cambio,id_1211323275906895875,12/29/19 16:29,coincidimos...  el perro verbitsky ya tiene su HDP de reemplazo!! #jodansetodes,hdp,Other individual,Hostility,,,,,
vikidonda,D,F,Frente de Todos,id_1213570138320121863,1/4/20 21:17,No lo defiendas tanto....,,,None,,,,,
gracielaocana,D,F,Juntos por el Cambio,id_1217133106366382080,1/14/20 17:15,Yo voy!,,,None,,,,,
HugoYasky,D,M,Frente de Todos,id_1226522421529841664,2/9/20 15:05,"Ya está, se solucionaron los grandes temas de la Argentina. Katopodis al gobierno, Baradel al poder 🥁",,,None,,,,,
omarperotti,S,M,Frente de Todos,id_1222908356387577856,1/30/20 15:44,Sr. Gob   deje de mentir como hacen todos los políticos. El pueblo sabe que la política se sostiene por la delincuencia en todo su espectro. Y más cuando la idea de Nación es poner a una Antropologa que desarma a nuestra seguridad. #JuevesDe12A14,,,Hostility,No,No,No,,
NicolasdelCano,D,M,PTS -Frente de Izquierda,id_1234150880678731776,3/1/20 16:17,pic.twitter.com/n47LZa81kc,,,None,,,,,
alferdez,O,M,,id_1235287688485404673,3/4/20 19:35,Acompaño el reclamo de los jujeños para defender la independencia de la justicia.  No permitiremos el avasallamiento y le exigiremos al Presidente  que rechace esta medida. #JujuyNoSeToca pic.twitter.com/GjGkrnqTqw,,,None,,,,,
MarianaZuvic,D,F,Juntos por el Cambio,id_1233151157650022401,2/27/20 22:05,"No seas ridícula mujer, hay otras formas más honestas de trascender!!!",Ridicula,,Hostility,No,No,No,,
elisacarrio,D,F,Juntos por el Cambio,id_1218696588740173825,1/19/20 0:48,FUE MAGNICIDIO.,,,None,,,,,
MoreauLeopoldo,D,M,Frente de Todos,id_1210638330309820417,12/27/19 19:07,Que idiota es el insano de Moreau. Da asco hasta el aspecto.,"Idiota, insano, da asco",,Hostility,No,No,No,,
,,,,id_1210775794189922305,12/28/19 4:13,Decreto  y a otra cosa. Palo y a la bolsa.  y su pandilla manga de IRRESPONSABLES.,irresponsables,Plural,Hostility,,,,,
,,,,id_1213550846090338304,1/4/20 20:00,Ahora sí🤣,,,None,,,,,
MoniMacha,D,F,Frente de Todos,id_1211969351785558017,12/31/19 11:16,"Feliz navidad Milagro, muy especialmente a vos por ser mujer y luchadora social.",,,None,,,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1207225802284306432,12/18/19 9:07,Anda a Palermo busca un árbol bonito y enroscate.,,,Hostility,No,No,No,,
laurmachado,S,F,Juntos por el Cambio,id_1206772108870770688,12/17/19 3:04,El pueblo agradece esta coherencia de no avalar SUPERPODERES. Estos quieren gobernar con total impunidad.,,Other plural,Criticism,,,,,
,,,,id_1204870268218486785,12/11/19 21:07,"Qué pasa ,  ? Quiere gastar sin control ? No!!! ¿para qué hizo semejante gasto ayer ? O la musiquita suena en las heladeras ? Austeridad, querido.  Y transparencia.Ajustar el cinturón y arreglarse con los recursos existentes  #NoALaEmergenciaEconomica",,,Criticism,No,No,No,,
LEBasterra,D,M,Frente de Todos,id_1221409120743456769,1/26/20 12:26,Mi telefono es 0342154621 para conectarme para comenzar la gestion y se podra generar mano de obra muchas gracias saludos ✌,,,None,,,,,
LEBasterra,D,M,Frente de Todos,id_1215672483245961224,1/10/20 16:31,Exagera ministro..contexto adverso asumió Macri.. ud arranca con muchísimas exportaciones que es su deber defender y cuidar..no vaya x populismo puro arruinar a el comercio exterior...,,,Criticism,No,No,No,,
