directed_at_screen_name,directed_at_congress,directed_at_gender,directed_at_interbloque,id_str,datetime,text,Slurs,Target,Main category,Threat,Sexually Explicit,Misoginy
mirtatundis,D,F,Frente de Todos,id_1208882066689056768,12/22/19 22:48,Y pensar q ésta estúpida voto al gato...😤,"estupida, gato",,Hostility,No,No,No
,,,,id_1205051081589440513,12/12/19 9:05,No los veo a todos en la misma posición de los de Lila. Algunos seguro van a tranza y los del Pro algunos también.,,,None,,,
,,,,id_1235593900531871745,3/5/20 15:51,No hay mejor verdad revelada de cada integrante de Concertación TOAS en dar a a conocer sobre los hechos e incursiones desarrolladas dentro del Continente fuera de la zona exclusión dada x los Británicos y k dicha de guerra se amplió al Continente dejando bajas propias y enemigas,,,None,,,
vikidonda,D,F,Frente de Todos,id_1208258231509962753,12/21/19 5:29,Con ese cuentito ándate a un jardín de infantes,,,Hostility,No,No,No
,,,,id_1229140068671139841,2/16/20 20:26,Excelente pero me llama la atención que no haya #Mujeres #MujeresEnPolitica,,,Criticism,No,No,No
luanavolnovich,D,F,Frente de Todos,id_1227350916036284419,2/11/20 21:57,Si aportas ideas negacionista y te titulas peronista andas x el camino equivocado,,,Criticism,No,No,No
mirtatundis,D,F,Frente de Todos,id_1233177752339144704,2/27/20 23:51,"CARADURA!!!!!! Hipócrita,!!!!!! Ahora hablas","caradura, hipocrita",,Hostility,No,No,No
gustamenna,D,M,Juntos por el Cambio,id_1232973891624144896,2/27/20 10:20,Vamoooos diputafo    …,,,None,,,
mirtatundis,D,F,Frente de Todos,id_1232171956201496576,2/25/20 5:14,🙋‍♂️En realidad pienso que más que traidora es una hdp.,"traidora, hdp",other individual,Hostility,No,No,No
FerIglesias,D,M,Juntos por el Cambio,id_1237849327990497282,3/11/20 21:14,Cafecito!!!!!☕,,,None,,,
gabicerru,D,F,Frente de Todos,id_1217237481638240256,1/15/20 0:10,No podes más de karadura.....y desinformaba,karadura,,Hostility,No,No,No
,,,,id_1219292876703719427,1/20/20 16:17,Es enorme  💜💜💜💜,,,None,,,
,,,,id_1235304363821854727,3/4/20 20:41,"Trabajando fuerte en  , hoy con la grata visita de los amigos intendentes Marcelo Bustos (Salsipuedes),  (Las Playas) y  (Costa Sacate). Con ellos repasé la situación de los municipios cordobeses. pic.twitter.com/cjQHatjIVc",,,None,,,
danielscioli,D,M,Frente de Todos,id_1235650469487312896,3/5/20 19:36,"Parasito estatal!!! Por tu gran incapacidad de gestion e inteligencia;vacaciones pagas a BRASIL inútil, vago,incapaz","paratiso, inutil, vago, incapaz",,Hostility,No,No,No
FerIglesias,D,M,Juntos por el Cambio,id_1236505862757384192,3/8/20 4:15,Por supuesto que lo podés decir... y con todas las letras!,,,None,,,
pietragallahora,D,M,Frente de Todos,id_1214470438245556229,1/7/20 8:54,Si tenés dudas sobre tu identidad ó sabés d alguien q las tenga ó fuiste víctima d terrorismo de Estado entre 1976 y 1984 comunicate con            #MemoriaVerdadJusticia,,,None,,,
gmontenegro_ok,D,M,Juntos por el Cambio,id_1205561542856585227,12/13/19 18:54,"Saludamos  y su equipo, les deseamos éxitos para los próximos desafíos que deberán afrontar en  Felicitamos a  con quien tendremos que trabajar en conjunto para lograr desarrollar el potencial de la industria #textil 🤝💪 #hechoenmdp",,,None,,,
vikidonda,D,F,Frente de Todos,id_1226546561942945792,2/9/20 16:41,"Es loca, cara rota y tiene un enorme complejo de inferioridad. Y Donda no está a la altura del lugar q la pusieron. Es un decorado, feo, berreta pero decorado al fin kich","loca, cara rota",,Hostility,No,No,No
FerIglesias,D,M,Juntos por el Cambio,id_1235300256524521473,3/4/20 20:25,Cómo se nota que está la mami en el poder 🤦‍♀️🤦‍♀️😜😜,,Other individual,Hostility,No,No,Yes
MoreauLeopoldo,D,M,Frente de Todos,id_1207798124183478272,12/19/19 23:01,No hay impunidad para siempre,,,None,,,
vikidonda,D,F,Frente de Todos,id_1217201647237111809,1/14/20 21:47,Y tu amigo apedovich?,,,None,,,
marioraulnegri,D,M,Juntos por el Cambio,id_1229838484959088640,2/18/20 18:41,Ni siquiera... votan a quién les pague el voto,,Other plural,Criticism,No,No,No
MarianaZuvic,D,F,Juntos por el Cambio,id_1233082070307655687,2/27/20 17:30,Que podes esperar Pablo de Yoli? Nadaaaa,,other individual,Hostility,No,No,No
gracielaocana,D,F,Juntos por el Cambio,id_1233174036898820098,2/27/20 23:36,pic.twitter.com/QDPOTIrvaX,,,None,,,
,,,,id_1231707475696640001,2/23/20 22:28,"Agresiones no, pero desafío a  por un video, y éste le terminó ganando por goleada 5 a 0. Lo indefendible NO, Graciela.",,,Criticism,No,No,No
,,,,id_1204882128204443649,12/11/19 21:54,"Estimado Pablo ....es necesario lo sepan todos los bonaerenses !! Por favor !! No los dejen mentir. GRACIAS ETERNAS A CADA INTEGRANTE DE JUNTOS POR EL CAMBIO. Acá estaremos, esperando la vuelta de los grandes.",,,None,,,
,,,,id_1210662305375178752,12/27/19 20:42,Alberto perfecto ganaron pero gobiernan para todos asi que dejen de hacer los dedos con v. Parecen pateticos.. Si vienen a arreglar los problemas del pais y a no repetir las mismas cagadas que se mandaron antes sean serios,pateticos,Plural,Hostility,No,No,No
vikidonda,D,F,Frente de Todos,id_1225170343888855040,2/5/20 21:32,Hoy nuestra compañera Patricia González visitó a   Titular del,,,None,,,
,,,,id_1235536450583752704,3/5/20 12:03,"No hay lugar para la búsqueda de ganancias extraordinarias, las rentas de privilegio ni la fuga. Que unos pocos se beneficien a costa del sufrimiento de la mayoría es una estafa contra el conjunto de la sociedad  Necesitamos sensatez, más empleo, más producción y volver a crecer",,,Criticism,No,No,No
gracielaocana,D,F,Juntos por el Cambio,id_1221590790071377929,1/27/20 0:28,Mejor hacete la irónica con otro tema porque gracias a tu ineficiencia el virus de la gripe A nos dejó 700 muertos ¿Te acordás sinverguenza?,sinverguenza,,Hostility,No,No,No
felipe_sola,D,M,Frente de Todos,id_1205284019656626176,12/13/19 0:31,Y esta por,,,None,,,
,,,,id_1236695590291062784,3/8/20 16:49,Gracias #BocaCampeon  Por la alegría de anoche y por esta. Que disfrutemos también en la cancha. Hagamos historia.,,,None,,,
vikidonda,D,F,Frente de Todos,id_1233596884482232320,2/29/20 3:36,Lo arreglaban con un audio de WhatsApp,,,None,,,
mirtatundis,D,F,Frente de Todos,id_1208877786347257856,12/22/19 22:31,"""Les estamos dando más plata a los jubilados. Además, los medicamentos gratuitos y el congelamiento de tarifas reducen sus gastos""   en #RayosX por",,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1234887061896859650,3/3/20 17:03,"Cuando le pegaron a  en Plaza de Mayo ,no te escuche solidarisarte #Memoria para pedir lo mismo, y menos brabucanas si quieren defender a la republica, van dos meses dejen gobernar ya gibernaron ustedes 4 años y dejaron tierra arrasada.",,,Criticism,No,No,No
MartinPerezTDF,D,M,Frente de Todos,id_1206201293951447045,12/15/19 13:16,"Felicitaciones amigo y compañero  Estoy seguro que vas a ser el mejor intendente de Río Grande. Enorme alegría por el regreso del peronismo a la querida ciudad de Río Grande, después de 28 años. ✌",,,None,No,No,No
CrisAlvarezRod,D,F,Frente de Todos,id_1215007204056674308,1/8/20 20:27,"PATETICO, una prostituta barata llamarla Arte.",patetico,other individual,Hostility,No,No,No
elisacarrio,D,F,Juntos por el Cambio,id_1217943002301304834,1/16/20 22:53,Te enteraste ahora que sos ciudadana común?? Hace mucho que perdiste la vergüenZa,perdiste la verg�enza,,Hostility,No,No,No
,,,,id_1221551670016069633,1/26/20 21:53,Siempre hay idiotas que le hacen el caldo gordo a los delincuentes.,idiotas,Other plural,Hostility,No,No,No
MarianaZuvic,D,F,Juntos por el Cambio,id_1225030335831908352,2/5/20 12:16,....jajajajajajajajaj ....me venia cudando por repeto y salís con esto ...jajaja COMEDIANTE!!!,,,Hostility,No,No,No
vikidonda,D,F,Frente de Todos,id_1226108888174514177,2/8/20 11:41,Al final  mando una carta o presentó una denuncia?,,,None,,,
wadodecorrido,D,M,Frente de Todos,id_1225415581937086469,2/6/20 13:46,"Buen día Maru, estamos en contacto con usted por mensaje privado. Saludos",,,None,,,
,,,,id_1235180516162273282,3/4/20 12:29,Como se pusieron en sintonía los trolls Jua no dejan de contestarte ja ja.,trolls,Other plural,Hostility,No,No,No
gracielaocana,D,F,Juntos por el Cambio,id_1233069754765791232,2/27/20 16:41,DIOS TE OIGA!!🙏🏼👏👏💪,,,None,,,
TotyFlores,D,M,Juntos por el Cambio,id_1221050526768488448,1/25/20 12:41,"Campeón, sos simplemente un viejo rancio que se cree gracioso y dice boludeces.  Vaya, ganso, que ni siquiera me da ganas de bardearlo.","viejo rancio, ganso",,Hostility,No,No,No
,,,,id_1228657078257975297,2/15/20 12:27,En campaña prometieron subir 20 por ciento las jubilaciones. Mintieron. Perjudican a los q trabajaron y aportaron más de 30 años a la Argentina.,,,Criticism,No,No,No
mirtatundis,D,F,Frente de Todos,id_1208878440553861123,12/22/19 22:34,Qué hace esta Señora con un cuadro de Evita en su despacho?,,,None,,,
elisacarrio,D,F,Juntos por el Cambio,id_1233559032759300101,2/29/20 1:06,"#GRACIASLILITA #GRACIASCARRIO AUTORA DEL PROYECTO DE LEY DEL CUAL LOS KIRCHNERISTAS SE BURLARON UN AÑO DE ELLA Y LAS MEDIDAS QUE ELLA PRESENTO, Y FINALMENTE TERMINARON VOTANDOLO !!  UNA LEY MAS PARA  #LeyDeGondolas   …",,,None,,,
,,,,id_1205862221101850627,12/14/19 14:48,"Nadie se acuerda de los cagadones que se mandaron cuando fueron gobiernos, ahorade nuevoslos eligieron, vamos a las cavernas.",,,Criticism,No,No,No
pau_oliveto,D,F,Juntos por el Cambio,id_1217180881355464704,1/14/20 20:25,"Hagan silencio y no hablen dejaron el país hecho trizas en solo 4 años, no tienen moral para opinar, dedíquense a mirarse al espejo.",no tienen moral,Plural,Hostility,No,No,No
,,,,id_1230479129088270336,2/20/20 13:07,😂😂😂😂No juntan el CI de una ostra entre todos 😂😂😂 Tampoco un cuarto de dignidad... Enano pelotudo.,"enano, pelotudo",,Hostility,No,No,No
HugoYasky,D,M,Frente de Todos,id_1213472330414010368,1/4/20 14:48,"No quiero joderles el #FelizSabado pero dice  en  que $100 por día a cuenta de tus aumentos son la muestra del cambio de época. O sea un AA y un DA (Antes y Después de Alberto) por $3000 pesos que son de ""tus futuros aumentos""...nadie repregunta.Sin remate.",,,Criticism,No,No,No
,,,,id_1227031214344884227,2/11/20 0:46,A ver si entiendo bien. El Sr tiene doble vida??? Por lo menos es igual en la casa y en el trabajo. Se la da de buenito pero por atrás es bastante pícaro,picaro,other individual,Hostility,No,No,No
elisacarrio,D,F,Juntos por el Cambio,id_1207808339222126593,12/19/19 23:42,Que espíritu que tiene!,,,None,,,
TotyFlores,D,M,Juntos por el Cambio,id_1212156629807972352,12/31/19 23:40,¡Muy Feliz 2020 Toty! Abrazo 🤗,,,None,,,
,,,,id_1235422553415524353,3/5/20 4:31,Obviooo. Que devuelva los millones que eran para los los damnificados de LP. Que diga ctos muertos hubo #Fueraaa         RT RT RT RT RT,,,Criticism,No,No,No
,,,,id_1231946874552229889,2/24/20 14:19,No pareció che! Si saben que pasan esas cosas no debieron participar. Fue vergonzoso. A n diputadas. Que se banquen las consecuencias de sus actos. Deja que se defiendan solas.,,,None,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1207076218224435203,12/17/19 23:12,"La Republica la entregaron Uds, se esta tratando de recuperarla.",,Plural,Hostility,No,No,No
gabicerru,D,F,Frente de Todos,id_1233080066055249926,2/27/20 17:22,"🙋‍♀️ sale despedida, las mujeres llevamos la morfi y los varones la bebida 👋👋 chauuu",,,None,,,
SergioMassa,D,M,Frente de Todos,id_1204601534148947968,12/11/19 3:19,hoy te trataron como a un felpudo!!! Juaaaaaa,,,None,,,
,,,,id_1206003704878567431,12/15/19 0:11,"De ninguna manera vamos a acompañar un proyecto de ley que delegue facultades extraordinarias al poder ejecutivo nacional. Una oposición seria se construye con hechos que velen por la defensa de la Republica, la ciudadanía y nuestros recursos. #DefendamosLaRepublica",,,None,,,
,,,,id_1221222322218131456,1/26/20 0:04,"Hay varios más como el lamentablemente, son kk o peronchorros! 😉",peronchorros,Other plural,Hostility,No,No,No
elisacarrio,D,F,Juntos por el Cambio,id_1218573395362766848,1/18/20 16:38,Lo dice x mi o x el?,,,None,,,
HugoYasky,D,M,Frente de Todos,id_1229435771150577664,2/17/20 16:01,bien que durante la presidencia de MM cortaron el tránsito día x medio pidiendo cláusula gatillo... Yasky no es representante de la CGT sino de kirchnerismo,,,None,,,
LicDanielArroyo,D,M,Frente de Todos,id_1229252185738883079,2/17/20 3:52,NO NOS HUMILLE MINISTRO CUANDO VEMOS GENTE QUE VA EN AUTO A COMPRAR CON LA TARJETA ALIMENTARIA. No era para argentinos desnutridos? O era para hacer política y conseguir votantes?,,,Criticism,No,No,No
elisacarrio,D,F,Juntos por el Cambio,id_1231202692988645377,2/22/20 13:02,"Que querés, después de jubilarse que sigan ganando fortunas, sa iendo que la mayoría, durante su vida activa se la pasan borrando se la raya del Orto, sentados en sus sillones de mando, mangas de SANGALETONES, la deuda que nos dejó ma ridonking,  os puso de rodilla  y ello??????",sangaletones,Other plural,Hostility,No,Yes,No
FerIglesias,D,M,Juntos por el Cambio,id_1204136287323795457,12/9/19 20:30,No se 45 seguidores fíjate vos.yo me cansé,,,None,,,
Facundo_Moyano,D,M,Frente de Todos,id_1233401364803354625,2/28/20 14:39,Dejar de castigar a los más débiles. Y defender a los más poderosos.,,,Criticism,No,No,No
eduardofvaldes,D,M,Frente de Todos,id_1226499894208323584,2/9/20 13:35,#AHORA en #ElHechoMaldito🌿 hablamos con Eduardo Valdez  diputado nacional y ex embajador argentino en el Vaticano. Por,,,None,,,
gabicerru,D,F,Frente de Todos,id_1215710723084558336,1/10/20 19:03,Sos mal intencionada o bruta e ignorante de verdad??? Quiero comprar la primer opcion... 🤦‍♂️,"mal intencionada, bruta, ignorante",,Hostility,No,No,No
FerIglesias,D,M,Juntos por el Cambio,id_1231038981715955712,2/22/20 2:12,Lo peor es que el corcho piensa que es chavez...,,other individual,Hostility,No,No,No
marioraulnegri,D,M,Juntos por el Cambio,id_1233747236477177857,2/29/20 13:33,Nunca sabrás qué o quién es el híbrido éste pic.twitter.com/GN3TTW41yA,,,None,,,
MariaLujan_Rey,D,F,Juntos por el Cambio,id_1235754999562391552,3/6/20 2:32,Te vi maria lujan.los quiero  Fuerza .,,,None,,,
,,,,id_1230097152258510848,2/19/20 11:49,#ArgentinaDePie #argentinos #CABA,,,None,,,
gabicerru,D,F,Frente de Todos,id_1213510241024913408,1/4/20 17:19,"Que reflexión en espejo , no ?",,,None,,,
KBanfi,D,F,Juntos por el Cambio,id_1233311344205627393,2/28/20 8:41,"¿Viste por qué no había que pelotudear con el tema del aborto? Como dijo uno acá, si ustedes no vieron venir la maniobra del kirchnerismo que están ahí en el Congreso, quiere decir que los pelotudos son ustedes. #Diputrucho #QuorumTrucho #GolpeDeEstadoK #RenunciaFrederic",pelotudos,Plural,Hostility,No,No,No
alejandrocacace,D,M,Juntos por el Cambio,id_1230682343352000512,2/21/20 2:35,"Cacace ,estimado,cambiemos perjudicó tanto a trabajadores activos como a jubilados. No quieran dar clase . Ya destruyeron todo!",,,Criticism,No,No,No
,,,,id_1224775531197014017,2/4/20 19:23,"Presenté un Proyecto de Resolución para que las Cámaras de Diputados y Senadores, nombren el Defensor del Pueblo (art. Nº 86 de la Constitución Nacional) y cumplan con la Ley Nº 24284 y un fallo de la Cámara Administrativa Federal del 2016 p/su nombramiento 1/",,,None,,,
MoreauLeopoldo,D,M,Frente de Todos,id_1210542407634345984,12/27/19 12:46,Así es querido Leopoldo,,,None,,,
marioraulnegri,D,M,Juntos por el Cambio,id_1228185741487820803,2/14/20 5:14,"Uhhhhh..ademas de burra ..cinica..igual que el mamerto...siempre lo dije, lo ese tipo es contagioso !!!!! Sobre todo en mujeres resentidas e ignorantes . Consejo: comprese la reposera...se lo que le digo.....","burra, cinica, mamerto, resentidas, ignorantes",other individual,Hostility,No,No,Yes
,,,,id_1237395931605024773,3/10/20 15:12,Y ahora señor Gobernador de la Provincia   imite esta importante iniciativa para los jubilados provinciales,,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1234122402352726016,3/1/20 14:24,"Iglesias acusando de corrupcion al MIT, una de las universidades mas prestigiosas del mundo.",,,None,,,
elisacarrio,D,F,Juntos por el Cambio,id_1207969217762529291,12/20/19 10:21,"""VAMOS A HACER LA DENUNCIA CUANDO ESTÉ LA LEY""",,,None,,,
,,,,id_1210020522953756673,12/26/19 2:12,Politicos caraduras e hipócritas (ademas de inútiles) que lucran con la pobreza y la ignorancia de la gente como justificativo!! Seguimos retrocediendo mientras el mundo avanza!!,"caraduras, hipocritas, inutiles",Other plural,Hostility,No,No,No
MartinGrandeok,D,M,Juntos por el Cambio,id_1237409568122114054,3/10/20 16:06,💚🧐🧐🧐🧐🧐🧐,,,None,,,
felipe_sola,D,M,Frente de Todos,id_1215335505002319873,1/9/20 18:12,"A ver pero que mismo, por que el no es traidor y espinosa si, el salió después de la consulta, cuéntame...",traidor,other individual,Hostility,No,No,No
felipe_sola,D,M,Frente de Todos,id_1217490387394232321,1/15/20 16:55,Nose que es peor la noticia o que este señor me  represente . Es nuestro canciller.,,other individual,Criticism,No,No,No
estebanbullrich,S,M,Juntos por el Cambio,id_1204495860870123521,12/10/19 20:19,"La pastillita mágica que el mismo laboratorio dice que no es seguro su uso en menores de 18 años, que puede causar rotura uterina, hemorragias, sepsis. Recién ahora se enteraron acá.",,,None,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1207670694697472000,12/19/19 14:35,"Se van los mejores,triste noticia",,,None,,,
omarperotti,S,M,Frente de Todos,id_1214030206756937728,1/6/20 3:45,"No debemos tolerar a los violentos que insultan y escrachan, cualquiera sea la motivación que los impulsa a hacerlo. No puede haber más víctimas de la locura. Llegó la hora de construir un tiempo de respeto mutuo.  Mi solidaridad a",,,None,,,
estebanbullrich,S,M,Juntos por el Cambio,id_1236746410713919495,3/8/20 20:11,"Y gratuito para aquellas que no quieran, la maternidad será deseada o no será, es simple",,,None,,,
,,,,id_1228538252438724610,2/15/20 4:35,😖😖😖😩😩😩😵😵😵👎👎👎😡😠💩😠😠💩😠😠💩,,,None,,,
fsuarezlastra,D,M,Juntos por el Cambio,id_1235769349283237895,3/6/20 3:29,No estoy tan seguro. Negoció una Constitución nefasta con Menem a cambio de 3er. senador y un par de boludeces más. No elevemos tanto a Alfonsin que como presidente tuvo muchas sombras,,,Criticism,No,No,No
pau_oliveto,D,F,Juntos por el Cambio,id_1233214149443948544,2/28/20 2:15,Hay que instruirse!!🙆‍♀️,,,None,,,
elisacarrio,D,F,Juntos por el Cambio,id_1231402315481047044,2/23/20 2:16,"Y prueba su culpabilidad, dado q si ella fuera inocente, no arriesgaría la pueblada q desatará su osadía, q puede terminar en la profesía d Parravicini, colgándolos como le pasó a Musolini.",,,None,,,
LicDanielArroyo,D,M,Frente de Todos,id_1232304359310086144,2/25/20 14:00,No le tuvo miedo a los poderosos!,,,None,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1215641192223989760,1/10/20 14:27,Callese mujer desagradable en 4 años no hicieron nada más que negocios con amigos y ahora vienen a darse baños de pureza,"callese, desagradable",,Hostility,No,No,No
,,,,id_1210553884659331073,12/27/19 13:31,"#ApoyanosConTuFirma en Parana ,Entra Ríos",,,None,,,
,,,,id_1230677431599673350,2/21/20 2:15,"Si no había margen para ajuste, porque ajustaron a los jubilados🤷‍♂️🤷‍♂️🤷‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",,,Criticism,No,No,No
FerEspinozaOK,D,M,Frente de Todos,id_1233767465294946304,2/29/20 14:54,En La Matanza la educación siempre es prioridad,,,None,,,
SergioMassa,D,M,Frente de Todos,id_1217853307215065088,1/16/20 16:57,la plata de los contribuyentes que aportan y sostienen al estado no es para regalarla por ahí. Lo único que vivas a conseguir es que no te paguen impuestos. Los impuestos son para subsidiar la gente en emergencia social,,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1212868237907709961,1/2/20 22:48,No tengo la más mínima duda! Lo demuestra permanentemente.,,,None,,,
,,,,id_1231921982540800000,2/24/20 12:41,Si estaba en desacuerdo debió irse,,,None,,,
marioraulnegri,D,M,Juntos por el Cambio,id_1208168851139104768,12/20/19 23:34,No Negri. No me digas q los sorprendió! No puedeeeen decir eso. Usted tiene añoooos en la Cámara.  Nooo . Por favor. UD no puede decir q lo sorprendieron los mafiosos!,mafiosos,,Criticism,No,No,No
wadodecorrido,D,M,Frente de Todos,id_1215953135149121537,1/11/20 11:06,Neshtor le otorgó la fusión 1)cablevision-multicanal 2)C.Lopez le perdonaron mas 3)50000 palos en BCRA No dejes que te sigan lavando el cerebro.,,,Hostility,No,No,No
MarianaZuvic,D,F,Juntos por el Cambio,id_1233132039265714176,2/27/20 20:49,Perpetrando dijo la perpetradora. Preparate que se viene la reforma judicial y vos tener muchas cuentas que rendir en la justicia,,,Criticism,No,No,No
KBanfi,D,F,Juntos por el Cambio,id_1207387333387018240,12/18/19 19:49,"Siempre siendo políticamente correctos, total, a los que le rompen el ogt todos los años es a nosotros!!!! Los PRIVADOS estamos contra la pared,solo nos queda ir para adelante. Ponganse las pelotasy ovarios de una vez y hagan l ok que tiene que hacer partido de EUNUCOS","le rompen el ogt, eunucos",,Hostility,No,Yes,No
,,,,id_1227339620800761857,2/11/20 21:12,Espero que sean los 200 primeros. Sino es una muestra gratis populista.,,,None,,,
gabicerru,D,F,Frente de Todos,id_1219579688605159425,1/21/20 11:17,Avísale a tus kumpas Silvestre y Rial que están como locas con el tema de clases.,kumpas,Plural,Hostility,No,No,No
gabicerru,D,F,Frente de Todos,id_1226337798862536704,2/9/20 2:51,No dejaste ninguna discapacidad Cerutti.,,,None,,,
LicDanielArroyo,D,M,Frente de Todos,id_1213961007305043970,1/5/20 23:10,gran bola le dio su gobierno con el iva a la canasta básica. son de manual k a la enésima potencia,,,Criticism,No,No,No
omarperotti,S,M,Frente de Todos,id_1235206343717511176,3/4/20 14:11,"Si contas con el apoyo del gobierno nacional, que te paguen lo que le.deben a Santa Fe",,,None,,,
marioraulnegri,D,M,Juntos por el Cambio,id_1237450141583511552,3/10/20 18:47,"ahi estaremos pato , mi family y yo tempranito , un saludo grande , fuerzaa !!!!",,,None,,,
pau_oliveto,D,F,Juntos por el Cambio,id_1216112389009133568,1/11/20 21:39,Pau visita a d alesio y de paso te vas ambientando y deja de hablar pavadas,,,Hostility,No,No,No
,,,,id_1228574094729383938,2/15/20 6:57,DICERENCIA CON LA JUBILACIÓN DE MACRI  .200$.QUE HIJAPUTEZ.,,,Criticism,No,No,No
felipe_sola,D,M,Frente de Todos,id_1225932415891320837,2/8/20 0:00,Empecemos a denunciar y a exigir justicia  podemos aguantar tanta impunidad!,,,None,,,
TotyFlores,D,M,Juntos por el Cambio,id_1229908789509394439,2/18/20 23:21,psicópatas,psicopatas,Plural,Hostility,No,No,No
gabicerru,D,F,Frente de Todos,id_1232507458679078915,2/26/20 3:27,Delincuente defendiendo otra delincuente 🤷,,,Hostility,No,No,No
MoreauLeopoldo,D,M,Frente de Todos,id_1229816947262607361,2/18/20 17:16,URGENTE #Bolivia El MAS se declara n estado d emergencia...via,,,None,,,
,,,,id_1207718667506593796,12/19/19 17:45,"La gastritis que estoy teniendo desde hace 20 dias, me está matando.  Quiero vivir en un país normal, CARAJO!!! TANTO CUESTA??!!",,,None,,,
wadodecorrido,D,M,Frente de Todos,id_1221161093894148096,1/25/20 20:01,Es al revés... ustedes gastan y nosotros ganamos juicios.,,,None,,,
alferdez,O,M,,id_1204434296796336130,12/10/19 16:14,Emocionante y esperanzador discurso de  Volvimos para ser mejores. Hay futuro para TOD☀️S. 🇦🇷,,,None,,,
wadodecorrido,D,M,Frente de Todos,id_1204426881254211585,12/10/19 15:45,Queremos flan y la heladera llega llena o en 2 anos vuelan por ladrones.,ladrones,Other plural,Hostility,No,No,No
SergioMassa,D,M,Frente de Todos,id_1217617240423641090,1/16/20 1:19,Sr  se olvidó de estas declaraciones?,,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1206770550892384256,12/17/19 2:58,Por favor!!! Que locura!! Estoy hay q pararlo ya!!,,,None,,,
luispetri,D,M,Juntos por el Cambio,id_1217333846443745282,1/15/20 6:33,Los Radicales Auténticos que manifestamos que en Bolivia se produjo un golpe de estado que una vez consumado produjo masacres sobre la población. La tradición de la UCR es el amparo a los perseguidos que deben ser protegidos por Argentina,,,None,,,
